,Unnamed: 0,palabra,tamanyo,threshold,distancia,trie,tiempo,media_trie-distancia,mediana_trie-distancia
208,208,constitución,2500,5,l,No,0.2888372860000032,0.1656054675714216,0.1518098090000066
209,209,constitución,2500,7,l,No,0.2954108199999865,0.16741574542856982,0.1554182439999962
210,210,constitución,10000,1,i,Yes,0.2016184940000016,0.1892096510000019,0.1768892370000117
211,211,constitución,10000,2,i,Yes,0.201196264999993,0.23142021428570445,0.201196264999993
212,212,constitución,10000,4,i,Yes,0.220983015999991,0.6166996132857223,0.7015106599999994
213,213,constitución,10000,5,i,Yes,0.2652116529999944,0.9167993662857146,1.0645061250000083
214,214,constitución,10000,7,i,Yes,0.6999716349999971,1.3483657477142776,1.3871027180000013
215,215,constitución,10000,1,d,Yes,0.2009699079999904,0.18433537057142776,0.1779641630000128
216,216,constitución,10000,2,d,Yes,0.2012405269999959,0.21609823114285498,0.2012405269999959
217,217,constitución,10000,4,d,Yes,0.2169468979999891,0.5414615512857102,0.625845055000001
218,218,constitución,10000,5,d,Yes,0.2616567500000002,0.7995529664285778,0.9225533700000028
219,219,constitución,10000,7,d,Yes,0.6321804710000123,1.1700539694285776,1.2095163469999974
220,220,constitución,10000,1,l,Yes,0.2116864240000069,0.17936852928571967,0.1776227980000158
221,221,constitución,10000,2,l,Yes,0.2026279370000026,0.18556996228570885,0.180710275999985
222,222,constitución,10000,4,l,Yes,0.2034404599999959,0.24725076800000728,0.2607983089999948
223,223,constitución,10000,5,l,Yes,0.2102700949999985,0.28910366614285493,0.293897644999987
224,224,constitución,10000,7,l,Yes,0.2796833230000004,0.3453729591428595,0.3476149220000053
225,225,constitución,10000,1,i,No,1.1952223719999893,0.5059537211428579,0.4259489920000021
226,226,constitución,10000,2,i,No,1.2182878350000124,0.5828058890000057,0.488705147999994
227,227,constitución,10000,4,i,No,1.2196730089999903,0.6314793561428595,0.5192221170000266
228,228,constitución,10000,5,i,No,1.1961709539999958,0.6348939708571345,0.5322716739999578
229,229,constitución,10000,7,i,No,1.2546967990000013,0.6485954718571367,0.5297924039999771
230,230,constitución,10000,1,d,No,1.1615215290000125,0.5163948492857163,0.4264480390000074
231,231,constitución,10000,2,d,No,1.2005541329999971,0.580773602571435,0.4947436229999908
232,232,constitución,10000,4,d,No,1.1757136530000023,0.6307063001428642,0.5252478140000107
233,233,constitución,10000,5,d,No,1.1619200760000012,0.6239252342857081,0.5284797869999807
234,234,constitución,10000,7,d,No,1.234308270000014,0.6380275868571503,0.5304936300000236
235,235,constitución,10000,1,l,No,1.1395519279999746,0.49554000957142363,0.425113897000017
236,236,constitución,10000,2,l,No,1.202383779999991,0.5827349535714299,0.4919475749999975
237,237,constitución,10000,4,l,No,1.22901670600001,0.6346140048571384,0.527122401999975
238,238,constitución,10000,5,l,No,1.1268532580000112,0.6194372964285709,0.5271481899999912
